datetime,gage
8/27/21 15:45,0.16
8/27/21 16:00,0.24
8/27/21 16:15,0.24
8/27/21 16:30,0.32
8/27/21 16:45,0.32
8/27/21 17:00,0.32
8/27/21 17:15,0.32
8/27/21 17:30,0.24
8/27/21 17:45,0.24
8/27/21 18:00,0.24
8/27/21 18:15,0.16
8/27/21 18:30,0.16
8/27/21 18:45,0.16
8/27/21 19:00,0.16
8/27/21 19:15,0.08
8/27/21 19:30,0.08
8/27/21 19:45,0.08
8/27/21 20:00,0.08
8/27/21 20:15,0.08
8/29/21 18:30,1.94
8/29/21 18:45,1.05
8/29/21 19:15,0.81
8/29/21 19:30,0.24
8/29/21 19:45,1.62
8/29/21 20:15,0.24
8/29/21 20:30,1.86
8/29/21 20:45,5.25
8/29/21 21:00,1.37
8/29/21 21:15,2.91
9/29/21 9:45,0.24
9/29/21 10:00,0.32
9/29/21 10:15,0.24
9/29/21 10:30,0.24
9/29/21 10:45,0.24
9/29/21 11:00,0.24
9/29/21 11:15,0.24
9/29/21 11:30,0.24
9/29/21 11:45,0.24
9/29/21 12:00,0.16
9/29/21 12:15,0.24
9/29/21 12:30,0.16
9/29/21 12:45,0.16
9/29/21 13:00,0.24
9/29/21 13:15,0.16
9/29/21 13:30,0.16
9/29/21 13:45,0.16
9/29/21 14:00,0.16
9/29/21 14:15,0.16
9/29/21 14:30,0.16
9/29/21 14:45,0.16
9/29/21 15:00,0.16
9/29/21 15:15,0.16
9/29/21 15:30,0.16
9/29/21 15:45,0.16
9/29/21 16:00,0.16
9/29/21 16:15,0.16
9/29/21 16:30,0.16
9/29/21 16:45,0.16
9/29/21 17:00,0.16
9/29/21 17:15,0.08
9/29/21 17:30,0.16
9/29/21 17:45,0.16
9/29/21 18:00,0.08
9/29/21 18:15,0.16
9/29/21 18:30,0.08
9/29/21 18:45,0.08
9/29/21 19:00,0.08
9/29/21 19:15,0.08
9/29/21 19:30,0.08
9/29/21 19:45,0.08
9/29/21 20:00,0.16
9/29/21 20:15,0.08
9/29/21 20:30,0.08
9/29/21 20:45,0.08
9/29/21 21:00,0.16
9/29/21 21:15,0.08
9/29/21 21:30,0.16
9/29/21 21:45,0.16
9/29/21 22:00,0.16
9/29/21 22:15,0.16
9/29/21 22:30,0.16
9/29/21 22:45,0.16
9/29/21 23:00,0.16
9/29/21 23:15,0.16
9/29/21 23:30,0.16
9/29/21 23:45,0.08
9/30/21 0:00,0.16
9/30/21 0:15,0.16
9/30/21 0:30,0.08
9/30/21 0:45,0.16
9/30/21 1:00,0.16
9/30/21 1:15,0.16
9/30/21 1:30,0.16
9/30/21 1:45,0.16
9/30/21 2:00,0.08
9/30/21 2:15,0.16
9/30/21 2:30,0.16
9/30/21 2:45,0.16
9/30/21 3:00,0.16
9/30/21 3:15,0.08
9/30/21 3:30,0.16
9/30/21 3:45,0.16
9/30/21 4:00,0.16
9/30/21 4:15,0.16
9/30/21 4:30,0.16
9/30/21 4:45,0.08
9/30/21 5:00,0.16
9/30/21 5:15,0.16
9/30/21 5:30,0.08
9/30/21 5:45,0.08
9/30/21 6:00,0.16
9/30/21 6:15,0.16
9/30/21 6:30,0.08
9/30/21 6:45,0.08
9/30/21 7:00,0.08
9/30/21 7:15,0.08
9/30/21 7:30,0.08
9/30/21 8:45,0.16
9/30/21 9:00,0.08
9/30/21 9:15,0.16
9/30/21 9:30,0.08
9/30/21 9:45,0.16
9/30/21 10:00,0.16
9/30/21 10:15,0.16
9/30/21 10:30,0.16
9/30/21 10:45,0.08
9/30/21 11:00,0.08
9/30/21 11:15,0.08
9/30/21 11:30,0.08
9/30/21 11:45,0.08
9/30/21 12:00,0.08
9/30/21 12:15,0.08
9/30/21 12:30,0.08
9/30/21 12:45,0.08
9/30/21 13:00,0.08
9/30/21 13:15,0.08
9/30/21 13:30,0.08
9/30/21 13:45,0.08
9/30/21 14:00,0.08
9/30/21 14:30,0.08
9/30/21 14:45,0.08
9/30/21 15:00,0.08
9/30/21 15:15,0.08
9/30/21 15:45,0.08
9/30/21 16:00,0.08
9/30/21 16:15,0.08
9/30/21 16:45,0.08
9/30/21 17:00,0.08
9/30/21 17:15,0.08
9/30/21 17:30,0.08
9/30/21 17:45,0.08
9/30/21 18:00,0.24
9/30/21 18:15,0.24
9/30/21 18:30,0.4
9/30/21 18:45,0.48
9/30/21 19:00,0.56
9/30/21 19:15,0.73
9/30/21 19:30,0.89
9/30/21 19:45,1.13
9/30/21 20:00,1.37
9/30/21 20:15,1.69
9/30/21 20:30,1.94
9/30/21 20:45,2.1
9/30/21 21:00,2.34
10/1/21 0:15,1.85
10/1/21 0:30,1.85
10/1/21 0:45,1.85
10/1/21 1:00,1.85
10/1/21 1:15,1.93
10/1/21 1:30,1.93
10/1/21 1:45,1.93
10/1/21 2:00,1.93
10/1/21 2:15,1.93
10/1/21 2:30,1.93
10/1/21 2:45,1.93
10/1/21 3:00,1.93
10/1/21 3:15,1.93
10/1/21 3:30,1.93
10/1/21 3:45,1.93
10/1/21 4:00,1.93
10/1/21 4:15,1.93
10/1/21 4:30,1.93
10/1/21 4:45,1.93
10/1/21 5:00,2.01
10/1/21 5:15,1.93
10/1/21 5:30,1.93
10/1/21 5:45,2.01
10/1/21 6:00,2.01
10/1/21 6:15,2.01
10/1/21 6:30,2.01
10/1/21 6:45,2.01
10/1/21 7:00,2.01
10/1/21 7:15,2.01
10/1/21 7:30,2.01
10/1/21 7:45,2.01
10/1/21 8:00,2.01
10/1/21 8:15,2.01
10/1/21 8:30,2.01
10/1/21 8:45,2.01
10/1/21 9:00,1.93
10/1/21 9:15,1.93
10/1/21 9:30,1.93
10/1/21 9:45,1.93
10/1/21 10:00,2.01
10/1/21 10:15,1.93
10/1/21 10:30,1.93
10/1/21 10:45,2.01
10/1/21 11:00,2.01
10/1/21 11:15,2.01
10/1/21 11:30,2.09
10/1/21 11:45,2.09
10/1/21 12:00,2.09
10/1/21 12:15,2.09
10/1/21 12:30,2.17
10/1/21 12:45,2.17
10/1/21 13:00,2.25
10/1/21 13:15,2.34
10/1/21 13:30,2.42
10/1/21 13:45,2.5
10/1/21 14:00,2.66
10/1/21 14:15,2.75
10/1/21 14:30,2.91
10/1/21 14:45,3.07
10/1/21 15:00,3.23
10/1/21 15:15,3.4
10/1/21 15:30,3.56
10/1/21 15:45,3.8
10/1/21 16:00,3.96
10/1/21 16:15,3.96
10/1/21 16:30,4.04
10/1/21 16:45,4.12
10/1/21 17:00,4.2
10/1/21 17:15,4.2
10/1/21 17:30,4.28
10/1/21 17:45,4.2
10/1/21 18:00,4.2
10/1/21 18:15,4.2
10/1/21 18:30,4.12
10/1/21 18:45,4.04
10/1/21 19:00,3.87
10/1/21 19:15,3.87
10/1/21 19:30,3.79
10/1/21 19:45,3.71
10/1/21 20:00,3.63
10/1/21 20:15,3.55
10/1/21 20:30,3.47
10/1/21 20:45,3.39
10/1/21 21:00,3.31
10/1/21 21:15,3.23
10/1/21 21:30,3.23
10/1/21 21:45,3.15
10/1/21 22:00,2.98
10/1/21 22:15,2.9
10/1/21 22:30,2.82
10/1/21 22:45,2.82
10/1/21 23:00,2.82
10/1/21 23:15,2.82
10/1/21 23:30,2.82
10/1/21 23:45,2.74
10/2/21 0:00,2.66
10/2/21 0:15,2.66
10/2/21 0:30,2.58
10/2/21 0:45,2.66
10/2/21 1:00,2.58
10/2/21 1:15,2.58
10/2/21 1:30,2.5
10/2/21 1:45,2.5
10/2/21 2:00,2.42
10/2/21 2:15,2.42
10/2/21 2:30,2.33
10/2/21 2:45,2.33
10/2/21 3:00,2.33
10/2/21 3:15,2.33
10/2/21 3:30,2.33
10/2/21 3:45,2.33
10/2/21 4:00,2.25
10/2/21 4:15,2.17
