# Discharge.ft^3_s@15237003.20210101.csv generated at 2022-12-06 22:49:05 (UTC+00:00) by AQUARIUS Time-Series 21.4.366.0
# 
# Time-series identifier: Discharge.ft^3/s@15237003
# Location: NELLIE JUAN R TRIB NR HUNTER AK
# UTC offset: (UTC-09:00)
# Value units: ft^3/s
# Value parameter: Discharge
# Interpolation type: Instantaneous Values
# Time-series type: Derived
# 
# Export options: Corrected signal from 2021-01-01T09:00:00Z to 2022-12-02T09:00:00Z
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC-09:00),Value,Approval Level,Grade,Qualifiers
2021-07-02T01:15:00Z,2021-07-01 16:15:00,28.8914079142507,Working,50,"ESTIMATED"
2021-07-02T01:30:00Z,2021-07-01 16:30:00,27.609212843005,Working,50,"ESTIMATED"
2021-07-02T01:45:00Z,2021-07-01 16:45:00,26.5191890239133,Working,50,"ESTIMATED"
2021-07-02T02:00:00Z,2021-07-01 17:00:00,25.7297486580252,Working,50,"ESTIMATED"
2021-07-02T02:15:00Z,2021-07-01 17:15:00,25.1813751751755,Working,50,"ESTIMATED"
2021-07-02T02:30:00Z,2021-07-01 17:30:00,24.9742712636343,Working,50,"ESTIMATED"
2021-07-02T02:45:00Z,2021-07-01 17:45:00,25.083980107224,Working,50,"ESTIMATED"
2021-07-02T03:00:00Z,2021-07-01 18:00:00,25.5918886123697,Working,50,"ESTIMATED"
2021-07-02T03:15:00Z,2021-07-01 18:15:00,26.5603928594346,Working,50,"ESTIMATED"
2021-07-02T03:30:00Z,2021-07-01 18:30:00,28.0288363292905,Working,50,"ESTIMATED"
2021-07-04T21:00:00Z,2021-07-04 12:00:00,29.7921397893424,Working,50,"ESTIMATED"
2021-07-04T21:15:00Z,2021-07-04 12:15:00,26.8419314669583,Working,50,"ESTIMATED"
2021-07-04T21:30:00Z,2021-07-04 12:30:00,24.2012284234528,Working,50,"ESTIMATED"
2021-07-04T21:45:00Z,2021-07-04 12:45:00,21.8466642004713,Working,50,"ESTIMATED"
2021-07-04T22:00:00Z,2021-07-04 13:00:00,19.6727783168538,Working,50,"ESTIMATED"
2021-07-04T22:15:00Z,2021-07-04 13:15:00,17.7818280656259,Working,50,"ESTIMATED"
2021-07-04T22:30:00Z,2021-07-04 13:30:00,16.1316303786037,Working,50,"ESTIMATED"
2021-07-04T22:45:00Z,2021-07-04 13:45:00,14.6379799203101,Working,50,"ESTIMATED"
2021-07-04T23:00:00Z,2021-07-04 14:00:00,13.3290262353449,Working,50,"ESTIMATED"
2021-07-04T23:15:00Z,2021-07-04 14:15:00,12.2158097394576,Working,50,"ESTIMATED"
2021-07-04T23:30:00Z,2021-07-04 14:30:00,11.245675693038,Working,50,"ESTIMATED"
2021-07-04T23:45:00Z,2021-07-04 14:45:00,10.4191533055894,Working,50,"ESTIMATED"
2021-07-05T00:00:00Z,2021-07-04 15:00:00,9.74054500549663,Working,50,"ESTIMATED"
2021-07-05T00:15:00Z,2021-07-04 15:15:00,9.15306049019762,Working,50,"ESTIMATED"
2021-07-05T00:30:00Z,2021-07-04 15:30:00,8.67084068619663,Working,50,"ESTIMATED"
2021-07-05T00:45:00Z,2021-07-04 15:45:00,8.28315193737492,Working,50,"ESTIMATED"
2021-07-05T01:00:00Z,2021-07-04 16:00:00,8.03870291343826,Working,50,"ESTIMATED"
2021-07-05T01:15:00Z,2021-07-04 16:15:00,7.84207655240483,Working,50,"ESTIMATED"
2021-07-05T01:30:00Z,2021-07-04 16:30:00,7.79068067293413,Working,50,"ESTIMATED"
2021-07-05T01:45:00Z,2021-07-04 16:45:00,7.80959634073973,Working,50,"ESTIMATED"
2021-07-05T02:00:00Z,2021-07-04 17:00:00,7.91833316317565,Working,50,"ESTIMATED"
2021-07-05T02:15:00Z,2021-07-04 17:15:00,8.12341852682894,Working,50,"ESTIMATED"
2021-07-05T02:30:00Z,2021-07-04 17:30:00,8.39987864629302,Working,50,"ESTIMATED"
2021-07-05T02:45:00Z,2021-07-04 17:45:00,8.73347044482236,Working,50,"ESTIMATED"
2021-07-05T03:00:00Z,2021-07-04 18:00:00,9.10851336296097,Working,50,"ESTIMATED"
2021-07-05T03:15:00Z,2021-07-04 18:15:00,9.52857344141068,Working,50,"ESTIMATED"
2021-07-05T03:30:00Z,2021-07-04 18:30:00,10.0024962092228,Working,50,"ESTIMATED"
2021-07-05T03:45:00Z,2021-07-04 18:45:00,10.5472105219819,Working,50,"ESTIMATED"
2021-07-05T04:00:00Z,2021-07-04 19:00:00,11.1668130730051,Working,50,"ESTIMATED"
2021-07-05T04:15:00Z,2021-07-04 19:15:00,11.8565992284522,Working,50,"ESTIMATED"
2021-07-05T04:30:00Z,2021-07-04 19:30:00,12.5907565898493,Working,50,"ESTIMATED"
2021-07-05T04:45:00Z,2021-07-04 19:45:00,13.384422969668,Working,50,"ESTIMATED"
2021-07-05T05:00:00Z,2021-07-04 20:00:00,14.2479732671486,Working,50,"ESTIMATED"
2021-07-05T05:15:00Z,2021-07-04 20:15:00,15.1785789381988,Working,50,"ESTIMATED"
2021-07-05T05:30:00Z,2021-07-04 20:30:00,16.2117155858213,Working,50,"ESTIMATED"
2021-07-05T05:45:00Z,2021-07-04 20:45:00,17.2959243938299,Working,50,"ESTIMATED"
2021-07-05T06:00:00Z,2021-07-04 21:00:00,18.4071148145886,Working,50,"ESTIMATED"
2021-07-05T06:15:00Z,2021-07-04 21:15:00,19.5878397040142,Working,50,"ESTIMATED"
2021-07-05T06:30:00Z,2021-07-04 21:30:00,20.8199246811331,Working,50,"ESTIMATED"
2021-07-05T06:45:00Z,2021-07-04 21:45:00,22.1214655306651,Working,50,"ESTIMATED"
2021-07-05T07:00:00Z,2021-07-04 22:00:00,23.4448833994319,Working,50,"ESTIMATED"
2021-07-05T07:15:00Z,2021-07-04 22:15:00,24.9296511322359,Working,50,"ESTIMATED"
2021-07-05T07:30:00Z,2021-07-04 22:30:00,26.4474088163793,Working,50,"ESTIMATED"
2021-07-05T07:45:00Z,2021-07-04 22:45:00,28.0711213407748,Working,50,"ESTIMATED"
2021-07-05T08:00:00Z,2021-07-04 23:00:00,29.70373114906,Working,50,"ESTIMATED"
2021-07-05T20:00:00Z,2021-07-05 11:00:00,28.9965281099248,Working,50,"ESTIMATED"
2021-07-05T20:15:00Z,2021-07-05 11:15:00,27.3803787721792,Working,50,"ESTIMATED"
2021-07-05T20:30:00Z,2021-07-05 11:30:00,25.8855935921024,Working,50,"ESTIMATED"
2021-07-05T20:45:00Z,2021-07-05 11:45:00,24.4415033019269,Working,50,"ESTIMATED"
2021-07-05T21:00:00Z,2021-07-05 12:00:00,23.1994032154657,Working,50,"ESTIMATED"
2021-07-05T21:15:00Z,2021-07-05 12:15:00,22.1517873539951,Working,50,"ESTIMATED"
2021-07-05T21:30:00Z,2021-07-05 12:30:00,21.2425970389286,Working,50,"ESTIMATED"
2021-07-05T21:45:00Z,2021-07-05 12:45:00,20.5116567819519,Working,50,"ESTIMATED"
2021-07-05T22:00:00Z,2021-07-05 13:00:00,19.7535840154561,Working,50,"ESTIMATED"
2021-07-05T22:15:00Z,2021-07-05 13:15:00,19.1423780902466,Working,50,"ESTIMATED"
2021-07-05T22:30:00Z,2021-07-05 13:30:00,18.6595700037355,Working,50,"ESTIMATED"
2021-07-05T22:45:00Z,2021-07-05 13:45:00,18.3029386080149,Working,50,"ESTIMATED"
2021-07-05T23:00:00Z,2021-07-05 14:00:00,18.0442321022765,Working,50,"ESTIMATED"
2021-07-05T23:15:00Z,2021-07-05 14:15:00,17.8160107494113,Working,50,"ESTIMATED"
2021-07-05T23:30:00Z,2021-07-05 14:30:00,17.6782235098094,Working,50,"ESTIMATED"
2021-07-05T23:45:00Z,2021-07-05 14:45:00,17.6304177202356,Working,50,"ESTIMATED"
2021-07-06T00:00:00Z,2021-07-05 15:00:00,17.6214822294022,Working,50,"ESTIMATED"
2021-07-06T00:15:00Z,2021-07-05 15:15:00,17.7175211525304,Working,50,"ESTIMATED"
2021-07-06T00:30:00Z,2021-07-05 15:30:00,17.8859067661084,Working,50,"ESTIMATED"
2021-07-06T00:45:00Z,2021-07-05 15:45:00,18.148245436481,Working,50,"ESTIMATED"
2021-07-06T01:00:00Z,2021-07-05 16:00:00,18.4743028727756,Working,50,"ESTIMATED"
2021-07-06T01:15:00Z,2021-07-05 16:15:00,18.8326292672201,Working,50,"ESTIMATED"
2021-07-06T01:30:00Z,2021-07-05 16:30:00,19.278967503422,Working,50,"ESTIMATED"
2021-07-06T01:45:00Z,2021-07-05 16:45:00,19.7954625902322,Working,50,"ESTIMATED"
2021-07-06T02:00:00Z,2021-07-05 17:00:00,20.3600782980427,Working,50,"ESTIMATED"
2021-07-06T02:15:00Z,2021-07-05 17:15:00,20.9651605720666,Working,50,"ESTIMATED"
2021-07-06T02:30:00Z,2021-07-05 17:30:00,21.6006970789279,Working,50,"ESTIMATED"
2021-07-06T02:45:00Z,2021-07-05 17:45:00,22.3676111325225,Working,50,"ESTIMATED"
2021-07-06T03:00:00Z,2021-07-05 18:00:00,23.1053103286661,Working,50,"ESTIMATED"
2021-07-06T03:15:00Z,2021-07-05 18:15:00,23.8200384284272,Working,50,"ESTIMATED"
2021-07-06T03:30:00Z,2021-07-05 18:30:00,24.503756314759,Working,50,"ESTIMATED"
